จำนวนนักท่องเที่ยว เดือนมกราคม ถึง ธันวาคม 2563P,,,
,,,
Country of,Number,,%Change*
Nationality,2020P,2019,2020/19
East  Asia,"3,739,408","27,391,050",-86.35
ASEAN,"1,652,593","10,751,957",-84.63
Brunei,"1,576","15,608",-89.9
Cambodia,"165,718","910,685",-81.8
Indonesia,"99,033","709,578",-86.04
Laos,"380,917","1,854,719",-79.46
Malaysia,"619,451","4,272,584",-85.5
Myanmar,"54,709","378,232",-85.54
Philippines,"71,796","506,306",-85.82
Singapore,"126,879","1,056,582",-87.99
Vietnam,"132,514","1,047,663",-87.35
China,"1,249,910","10,997,169",-88.63
Hong Kong,"124,233","1,045,283",-88.11
Japan,"320,331","1,806,383",-82.27
Korea,"260,228","1,890,959",-86.24
Taiwan,"119,408","789,973",-84.88
Others,"12,705","109,326",-88.38
Europe,"2,078,979","6,711,816",-69.03
Austria,"35,524","111,428",-68.12
Belgium,"26,254","114,669",-77.1
Denmark,"66,824","162,448",-58.86
Finland,"59,643","128,014",-53.41
France,"236,527","745,318",-68.26
Germany,"230,598","852,432",-72.95
Italy,"60,104","272,310",-77.93
Netherlands,"51,558","241,565",-78.66
Norway,"39,511","127,983",-69.13
Russia,"587,167","1,483,334",-60.42
Spain,"26,409","188,995",-86.03
Sweden,"111,859","287,338",-61.07
Switzerland,"51,697","192,126",-73.09
United  Kingdom,"221,392","992,486",-77.69
East  Europe,"216,528","559,139",-61.27
Others,"57,384","252,231",-77.25
The  Americas,"318,426","1,630,784",-80.47
Argentina,"12,457","29,498",-57.77
Brazil,"18,855","69,714",-72.95
Canada,"58,223","273,218",-78.69
USA,"211,075","1,165,856",-81.9
Others,"17,816","92,498",-80.74
South  Asia,"321,753","2,397,234",-86.58
Bangladesh,"21,817","136,673",-84.04
India,"261,778","1,995,363",-86.88
Nepal,"9,816","60,377",-83.74
Pakistan,"12,412","79,805",-84.45
Sri  Lanka,"8,155","71,043",-88.52
Others,"7,775","53,973",-85.59
Oceania,"139,891","884,536",-84.18
Australia,"123,598","767,162",-83.89
New  Zealand,"15,690","112,660",-86.07
Others,603,"4,714",-87.21
Middle  East,"79,674","702,523",-88.66
Egypt,"3,550","23,722",-85.03
Israel,"29,368","195,856",-85.01
Kuwait,"10,234","78,199",-86.91
Saudi  Arabia,"4,131","30,006",-86.23
U.A.E.,"7,154","130,158",-94.5
Others,"25,237","244,582",-89.68
Africa,"24,265","198,308",-87.76
S.Africa,"11,359","96,450",-88.22
Others,"12,906","101,858",-87.33
Grand  Total,"6,702,396","39,916,251",-83.21
หมายเหตุ 1) P หมายถึง ข้อมูลเบื้องต้น ที่อาจมีการปรับปรุงให้สมบูรณ์ขึ้นภายหลัง,,,
             2) ค่าใช้จ่ายที่เกิดจากนักท่องเที่ยวชาวต่างชาติที่ตกค้างอยู่ในประเทศไทยในเดือน เม.ย. - ก.ย. 2563 ไม่ได้ถูกรวมอยู่ในรายงานฉบับนี้,,,
             3) ค่าใช้จ่ายที่เกิดจากนักท่องเที่ยวชาวต่างชาติในเดือนตุลาคม ถึง ธันวาคม 2563 อยู่ในระหว่างการรวบรวมและประมวลผล,,,
             4) *โดยที่ปัจจุบัน การระบาดของโควิด-19 ยังคงไม่สิ้นสุด และการเดินทางระหว่างประเทศอยู่ภายใต้มาตรการผ่อนคลายสำหรับผู้เดินทางบางกลุ่ม และ,,,
                  และผู้เดินทางทุกคนต้องเข้ารับการกักกันโรค ระยะเวลา 14 วัน จึงมีผลทำให้จำนวนนักท่องเที่ยวต่ำกว่าระดับปกติมาก,,,
ที่มา: กองเศรษฐกิจการท่องเที่ยวและกีฬา (ณ วันที่ 25 มกราคม 2564P) ,,,
